village_name,district,taluk,farmer_id_hash,pmfby_sum_insured_inr,pmfby_claim_amount_inr,claim_narrative,internal_test_label,crop_name,season
Devihosur (Haveri),Haveri,Devihosur,FMR-DED1EF81,50000,24405.84,"Good rains, expecting normal yield.",CONTRADICT_REALITY_LOSS,Rice,Kharif
Devihosur (Haveri),Haveri,Devihosur,FMR-09A0F698,50000,18666.32,Fields submerged for 5 days due to flash floods.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Devihosur (Haveri),Haveri,Devihosur,FMR-5D6B5E8C,65000,35494.92,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Savanur (Haveri),Haveri,Savanur,FMR-844E8EF1,42000,20240.59,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Savanur (Haveri),Haveri,Savanur,FMR-3948B082,35000,16138.31,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Savanur (Haveri),Haveri,Savanur,FMR-7298AD6D,50000,16664.67,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Ramdurg (Belagavi),Belagavi,Ramdurg,FMR-61190BD7,50000,39004.43,"No rain for 30 days, total crop failure.",MATCH_LOSS,Rice,Kharif
Athani (Belagavi),Belagavi,Athani,FMR-15EE2D1B,50000,39963.98,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Athani (Belagavi),Belagavi,Athani,FMR-0E652B1E,35000,26887.46,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Athani (Belagavi),Belagavi,Athani,FMR-BBA1DD0A,65000,54383.27,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Annigeri (Dharwad),Dharwad,Annigeri,FMR-FC2E5AF0,50000,28108.28,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Kundgol (Dharwad),Dharwad,Kundgol,FMR-AB77418A,50000,15177.77,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Kundgol (Dharwad),Dharwad,Kundgol,FMR-B6CE6210,65000,23215.73,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Kundgol (Dharwad),Dharwad,Kundgol,FMR-8FEB5F8A,42000,18737.2,Severe drought during flowering stage destroyed crop.,MATCH_LOSS,Rice,Kharif
Navalgund (Dharwad),Dharwad,Navalgund,FMR-24F8CBBA,42000,24756.31,Heavy unseasonal rains washed away the topsoil and crop.,CONTRADICT_REALITY_LOSS,Rice,Kharif
Navalgund (Dharwad),Dharwad,Navalgund,FMR-C5F2C3E5,42000,30941.41,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Navalgund (Dharwad),Dharwad,Navalgund,FMR-EEB851A7,50000,40964.12,Inadequate rainfall led to stunted growth and withering.,MATCH_LOSS,Rice,Kharif
Navalgund (Dharwad),Dharwad,Navalgund,FMR-709DC81C,50000,47232.13,Crop dried up due to prolonged moisture stress.,MATCH_LOSS,Rice,Kharif
Aland (Kalaburagi),Kalaburagi,Aland,FMR-79B69DB8,65000,56857.06,Slight waterlogging initially but crop recovered fully.,CONTRADICT_REALITY_LOSS,Rice,Kharif
